step,strain,stress
loading1,0.0001687746,3.0302901477
loading1,0.000173451,36.3634817728
loading1,0.0001777022,66.6663832501
loading1,0.000350728,99.9944733766
loading1,0.0005233287,130.2922733553
loading1,0.0006963546,163.6203634818
loading1,0.0008693804,196.9484536082
loading1,0.0010419811,227.246253587
loading1,0.0012145818,257.5440535657
loading1,0.0015559571,290.8670421936
loading1,0.0017285578,321.1648421724
loading1,0.002069933,354.4878308003
loading1,0.0022429589,387.8159209268
loading1,0.0024155596,418.1137209055
loading1,0.0029248592,448.4013178871
loading1,0.0034345839,481.7192050165
loading1,0.0037755341,512.0119034967
loading1,0.0027560846,445.376129238
loading1,0.0042852588,545.329790626
loading1,0.0047945584,575.6173876076
loading1,0.005303858,605.9049845892
loading1,0.0056448082,636.1976830694
loading1,0.0063224572,666.4801785525
loading1,0.0068317568,696.7677755341
loading1,0.0073414816,730.0856626634
loading1,0.0080187055,757.3378679987
loading1,0.008864704,787.6152619832
loading1,0.0095419279,814.8674673185
loading1,0.0105558508,842.1094696567
loading1,0.0115697736,869.3514719949
loading1,0.0125836965,896.5934743331
loading1,0.0137651185,917.7697948772
loading1,0.0152836646,941.966202572
loading1,0.0152484396,944.6063670328
unloading1,0.0152455312,924.3992035616
unloading1,0.0152415043,896.4200541399
unloading1,0.0150640954,863.7830823956
unloading1,0.0147139757,831.1514798989
unloading1,0.0146231459,800.0662207208
unloading1,0.0143596054,768.9863307904
unloading1,0.0141821965,736.3493590461
unloading1,0.0140913667,705.264099868
unloading1,0.0138276024,672.6298127475
unloading1,0.0136499698,638.4384438131
unloading1,0.0136454954,607.3505000112
unloading1,0.0135544419,574.710843643
unloading1,0.0132909014,543.6309537126
unloading1,0.0131137162,512.5483791584
unloading1,0.0130222153,476.79992841
unloading1,0.0128450301,445.7173538558
unloading1,0.0127542003,414.6320946777
unloading1,0.0124902123,380.4434103671
unloading1,0.012226448,347.8091232466
unloading1,0.0119631312,318.2836305063
unloading1,0.0119584331,285.6412895143
unloading1,0.0116083134,253.0096870176
unloading1,0.0112586411,223.4868789011
unloading1,0.0110810085,189.2955099667
unloading1,0.010817468,158.2156200362
unloading1,0.0107266382,127.1303608582
unloading1,0.0104626502,92.9416765476
unloading1,0.0100266225,63.4215530549
unloading1,0.0099353453,29.2274994966
reloading1,0.009414752,12.1452381485
reloading1,0.0095921609,44.7822098928
reloading1,0.0097695698,77.4191816372
reloading1,0.0099472024,111.6105505716
reloading1,0.0100380322,142.6958097497
reloading1,0.0101290857,175.3354661178
reloading1,0.0102196917,204.8663281058
reloading1,0.0104836797,239.0550124164
reloading1,0.0106610886,271.6919841607
reloading1,0.0107519184,302.7772433388
reloading1,0.0110152352,332.3027360791
reloading1,0.0112789995,364.9370231996
reloading1,0.011370053,397.5766795678
reloading1,0.0115476856,431.7680485022
reloading1,0.0117248708,462.8506230564
reloading1,0.0119886351,495.484910177
reloading1,0.0120796886,528.1245665451
